idTransaccion,monto,tipoPago,montoRecibido,cbuAliasDestino,bancoOrigen,tokenTarjeta,marca,cuotas
TX-1086,20015.67,TARJETA,,,,tok_master_678478,Visa Debito,1
TX-1087,42287.56,EFECTIVO,42438.05,,,,,
TX-1088,66291.43,EFECTIVO,67382.61,,,,,
TX-1089,62677.33,TARJETA,,,,tok_amex_255287,Visa Debito,1
TX-1090,9994.69,TRANSFERENCIA,,alias.pago.473,Banco Galicia,,,
TX-1091,67469.89,EFECTIVO,68834.02,,,,,
TX-1092,50186.54,TRANSFERENCIA,,alias.pago.898,Macro,,,
TX-1093,66368.04,TRANSFERENCIA,,alias.pago.735,Banco Santander,,,
TX-1094,69469.4,EFECTIVO,71198.61,,,,,
TX-1095,73227.35,EFECTIVO,74990.18,,,,,
TX-1096,2346.58,TARJETA,,,,tok_master_920391,Visa Debito,1
TX-1097,60266.52,TARJETA,,,,tok_visa_379766,Mastercard Black,1
TX-1098,28999.36,EFECTIVO,30716.55,,,,,
TX-1099,17071.31,TRANSFERENCIA,,alias.pago.458,Banco Nación,,,
TX-1100,61629.96,EFECTIVO,62075.81,,,,,
TX-1101,49672.47,TRANSFERENCIA,,alias.pago.436,Banco Nación,,,
TX-1102,64894.29,TRANSFERENCIA,,alias.pago.459,Macro,,,
TX-1103,30276.04,TARJETA,,,,tok_master_128941,Visa Gold,6
TX-1104,13803.3,TRANSFERENCIA,,alias.pago.139,Banco Galicia,,,
TX-1105,44944.56,TRANSFERENCIA,,alias.pago.846,Banco Nación,,,
TX-1106,33011.34,TARJETA,,,,tok_visa_503906,Mastercard Black,6
TX-1107,3806.8,TRANSFERENCIA,,alias.pago.101,Macro,,,
TX-1108,69455.35,TARJETA,,,,tok_amex_854377,Mastercard Black,6
TX-1109,32631.66,TARJETA,,,,tok_master_753425,American Express,1
TX-1110,54121.69,TRANSFERENCIA,,alias.pago.619,Banco Nación,,,
TX-1111,50183.52,TRANSFERENCIA,,alias.pago.512,Banco Nación,,,
TX-1112,41803.73,EFECTIVO,42644.62,,,,,
TX-1113,70557.09,TARJETA,,,,tok_amex_282480,American Express,12
TX-1114,41321.32,EFECTIVO,41929.07,,,,,
TX-1115,16158.61,TARJETA,,,,tok_amex_786508,American Express,12
TX-1116,33413.06,TARJETA,,,,tok_visa_636004,Visa Debito,1
TX-1117,59633.29,TARJETA,,,,tok_visa_790855,Visa Gold,6
TX-1118,38901.17,TARJETA,,,,tok_amex_451470,Visa Gold,3
TX-1119,50623.28,EFECTIVO,52236.41,,,,,
TX-1120,11477.87,EFECTIVO,11967.56,,,,,
TX-1121,35897.66,EFECTIVO,36808.49,,,,,
TX-1122,66517.2,TARJETA,,,,tok_visa_853240,Visa Debito,1
TX-1123,37331.1,EFECTIVO,37626.24,,,,,
TX-1124,51727.87,EFECTIVO,53284.71,,,,,
TX-1125,16803.66,TARJETA,,,,tok_amex_587115,Visa Gold,3
TX-1126,68851.52,EFECTIVO,69764.44,,,,,
TX-1127,60205.54,TARJETA,,,,tok_amex_686075,American Express,12
TX-1128,46142.6,TARJETA,,,,tok_amex_547470,Visa Debito,1
TX-1129,67342.0,TARJETA,,,,tok_master_571932,American Express,3
TX-1130,63069.79,TRANSFERENCIA,,alias.pago.884,Macro,,,
TX-1131,36602.48,EFECTIVO,37151.67,,,,,
TX-1132,6272.51,TRANSFERENCIA,,alias.pago.340,Banco Nación,,,
TX-1133,25520.64,TARJETA,,,,tok_visa_245095,Mastercard Black,3
TX-1134,29036.13,EFECTIVO,30448.97,,,,,
TX-1135,5285.05,TRANSFERENCIA,,alias.pago.438,Macro,,,
TX-1136,35211.36,EFECTIVO,35625.03,,,,,
TX-1137,31800.69,TARJETA,,,,tok_amex_120480,Visa Debito,1
TX-1138,36034.99,TRANSFERENCIA,,alias.pago.405,BBVA,,,
TX-1139,64081.87,TRANSFERENCIA,,alias.pago.651,Macro,,,
TX-1140,60090.18,EFECTIVO,61066.64,,,,,
TX-1141,20833.68,TRANSFERENCIA,,alias.pago.129,BBVA,,,
TX-1142,25541.65,TARJETA,,,,tok_master_859359,Mastercard Black,12
TX-1143,69005.85,TARJETA,,,,tok_amex_128276,Visa Debito,1
TX-1144,44596.01,TARJETA,,,,tok_visa_188025,Visa Debito,1
TX-1145,10609.61,TRANSFERENCIA,,alias.pago.286,Banco Galicia,,,
TX-1146,19881.65,TRANSFERENCIA,,alias.pago.316,BBVA,,,
TX-1147,24850.01,TRANSFERENCIA,,alias.pago.384,BBVA,,,
TX-1148,19294.23,EFECTIVO,20234.84,,,,,
TX-1149,56302.31,EFECTIVO,58302.13,,,,,
TX-1150,26572.05,TARJETA,,,,tok_visa_919182,Visa Gold,1
TX-1151,71246.07,EFECTIVO,72924.53,,,,,
TX-1152,46789.51,EFECTIVO,47041.95,,,,,
TX-1153,50374.68,TARJETA,,,,tok_visa_587623,American Express,6
TX-1154,13000.29,TARJETA,,,,tok_amex_853252,Visa Gold,3
TX-1155,72371.7,EFECTIVO,73529.07,,,,,
TX-1156,69702.09,TARJETA,,,,tok_amex_493537,Visa Debito,1
TX-1157,70639.56,EFECTIVO,70791.55,,,,,
TX-1158,51950.77,TARJETA,,,,tok_visa_206851,American Express,1
TX-1159,59818.93,TARJETA,,,,tok_visa_464069,Visa Debito,1
TX-1160,49783.34,EFECTIVO,50795.26,,,,,
TX-1161,25921.72,TRANSFERENCIA,,alias.pago.942,BBVA,,,
TX-1162,8362.65,TRANSFERENCIA,,alias.pago.750,BBVA,,,
TX-1163,53194.49,TRANSFERENCIA,,alias.pago.280,Macro,,,
TX-1164,72427.79,TRANSFERENCIA,,alias.pago.730,Macro,,,
TX-1165,58210.79,TRANSFERENCIA,,alias.pago.546,Macro,,,
TX-1166,20495.47,EFECTIVO,22156.93,,,,,
TX-1167,6956.39,TRANSFERENCIA,,alias.pago.349,BBVA,,,
TX-1168,42953.8,TARJETA,,,,tok_master_452737,Visa Gold,12
TX-1169,63895.99,EFECTIVO,64871.09,,,,,
TX-1170,26934.46,TRANSFERENCIA,,alias.pago.448,Banco Nación,,,
TX-1171,66083.84,TARJETA,,,,tok_master_682789,Visa Gold,3
TX-1172,6878.17,TARJETA,,,,tok_master_612311,Mastercard Black,12
TX-1173,48619.77,TRANSFERENCIA,,alias.pago.558,Banco Galicia,,,
TX-1174,7432.47,EFECTIVO,8241.27,,,,,
TX-1175,18626.23,TARJETA,,,,tok_amex_486945,Visa Debito,1
TX-1176,41733.74,TRANSFERENCIA,,alias.pago.535,Macro,,,
TX-1177,25143.95,TARJETA,,,,tok_master_384076,American Express,6
TX-1178,17675.08,TARJETA,,,,tok_visa_430876,Visa Gold,3
TX-1179,14769.8,TARJETA,,,,tok_master_389930,American Express,1
TX-1180,62530.81,TRANSFERENCIA,,alias.pago.332,Banco Nación,,,
TX-1181,13868.4,EFECTIVO,15284.44,,,,,
TX-1182,9930.43,EFECTIVO,11879.02,,,,,
TX-1183,41725.24,TARJETA,,,,tok_visa_768854,Visa Debito,1
TX-1184,8142.78,EFECTIVO,9290.91,,,,,
TX-1185,35470.07,TRANSFERENCIA,,alias.pago.448,Banco Santander,,,
TX-1186,72429.57,TRANSFERENCIA,,alias.pago.982,BBVA,,,
TX-1187,8999.49,EFECTIVO,9800.9,,,,,
TX-1188,6019.12,TARJETA,,,,tok_amex_156213,Mastercard Black,3
TX-1189,60930.08,TRANSFERENCIA,,alias.pago.187,Banco Santander,,,
TX-1190,9324.64,TRANSFERENCIA,,alias.pago.720,Macro,,,
TX-1191,59410.19,EFECTIVO,60961.58,,,,,
TX-1192,28838.16,TRANSFERENCIA,,alias.pago.404,Macro,,,
TX-1193,74257.33,TRANSFERENCIA,,alias.pago.682,Macro,,,
TX-1194,4987.16,TARJETA,,,,tok_visa_899787,Mastercard Black,3
TX-1195,20216.14,EFECTIVO,20530.25,,,,,
TX-1196,13449.11,EFECTIVO,13762.18,,,,,
TX-1197,30934.56,TARJETA,,,,tok_amex_592738,American Express,1
TX-1198,17744.98,TARJETA,,,,tok_master_837135,Visa Debito,1
TX-1199,5802.89,EFECTIVO,7650.71,,,,,
TX-1200,59193.19,TARJETA,,,,tok_amex_793300,Mastercard Black,12
TX-1201,9050.83,EFECTIVO,10346.1,,,,,
TX-1202,68176.65,EFECTIVO,68319.47,,,,,
TX-1203,12861.25,TRANSFERENCIA,,alias.pago.709,Macro,,,
TX-1204,69128.84,TRANSFERENCIA,,alias.pago.227,BBVA,,,
TX-1205,51806.51,TARJETA,,,,tok_master_385470,Visa Debito,1
TX-1206,33113.04,TARJETA,,,,tok_visa_553014,American Express,6
TX-1207,2426.93,EFECTIVO,4350.75,,,,,
TX-1208,62778.92,TARJETA,,,,tok_amex_121753,American Express,1
TX-1209,57351.62,EFECTIVO,58292.62,,,,,
TX-1210,49037.46,TRANSFERENCIA,,alias.pago.285,Macro,,,
TX-1211,32973.43,TRANSFERENCIA,,alias.pago.193,BBVA,,,
TX-1212,26423.1,TRANSFERENCIA,,alias.pago.428,Banco Galicia,,,
TX-1213,64401.12,TRANSFERENCIA,,alias.pago.521,BBVA,,,
TX-1214,21972.23,TRANSFERENCIA,,alias.pago.933,Macro,,,
TX-1215,3233.94,EFECTIVO,3862.97,,,,,
TX-1216,24583.9,TRANSFERENCIA,,alias.pago.985,Macro,,,
TX-1217,61957.08,EFECTIVO,63272.4,,,,,
TX-1218,40923.22,TRANSFERENCIA,,alias.pago.155,Banco Santander,,,
TX-1219,39123.73,TARJETA,,,,tok_master_755788,Visa Debito,1
TX-1220,57119.29,EFECTIVO,57653.4,,,,,
TX-1221,10260.49,TRANSFERENCIA,,alias.pago.548,BBVA,,,
TX-1222,9546.24,TARJETA,,,,tok_amex_938141,Mastercard Black,3
TX-1223,23650.89,EFECTIVO,24755.39,,,,,
TX-1224,7444.09,EFECTIVO,8366.99,,,,,
TX-1225,9251.23,EFECTIVO,10247.98,,,,,
TX-1226,53886.95,TARJETA,,,,tok_amex_386706,Visa Debito,1
TX-1227,62686.93,TRANSFERENCIA,,alias.pago.349,BBVA,,,
TX-1228,41569.25,TRANSFERENCIA,,alias.pago.295,Macro,,,
TX-1229,38363.95,EFECTIVO,40092.0,,,,,
TX-1230,21080.43,TRANSFERENCIA,,alias.pago.448,Macro,,,
TX-1231,20404.36,EFECTIVO,20970.04,,,,,
TX-1232,22742.41,TARJETA,,,,tok_amex_791998,Visa Debito,1
TX-1233,64961.91,TRANSFERENCIA,,alias.pago.651,BBVA,,,
TX-1234,26211.73,TARJETA,,,,tok_amex_495533,Visa Debito,1
TX-1235,69997.49,EFECTIVO,71959.04,,,,,
TX-1236,18291.01,TRANSFERENCIA,,alias.pago.339,BBVA,,,
TX-1237,3751.72,TARJETA,,,,tok_master_839485,Visa Debito,1
TX-1238,29262.87,TARJETA,,,,tok_amex_259493,Visa Debito,1
TX-1239,72379.42,EFECTIVO,73384.0,,,,,
TX-1240,44468.44,EFECTIVO,46216.82,,,,,
TX-1241,33302.81,TARJETA,,,,tok_master_116093,Mastercard Black,12
TX-1242,65384.51,EFECTIVO,65534.17,,,,,
TX-1243,58723.63,TRANSFERENCIA,,alias.pago.446,Macro,,,
TX-1244,52106.49,TARJETA,,,,tok_visa_993140,American Express,12
TX-1245,71583.4,TARJETA,,,,tok_amex_896290,Visa Debito,1
TX-1246,65492.53,EFECTIVO,66727.45,,,,,
TX-1247,17990.38,TARJETA,,,,tok_master_338536,Visa Gold,12
TX-1248,73386.16,TARJETA,,,,tok_amex_205389,Visa Debito,1
TX-1249,12894.18,TRANSFERENCIA,,alias.pago.129,Banco Galicia,,,
TX-1250,24665.91,EFECTIVO,25252.65,,,,,
TX-1251,28425.66,EFECTIVO,28914.05,,,,,
TX-1252,31197.86,TARJETA,,,,tok_visa_278240,Mastercard Black,1
TX-1253,45907.14,TRANSFERENCIA,,alias.pago.734,Banco Santander,,,
TX-1254,37576.21,TARJETA,,,,tok_visa_343467,Visa Debito,1
TX-1255,48023.9,TRANSFERENCIA,,alias.pago.361,Banco Galicia,,,
TX-1256,67468.69,TRANSFERENCIA,,alias.pago.394,Macro,,,
TX-1257,12269.18,TRANSFERENCIA,,alias.pago.453,Macro,,,
TX-1258,22786.99,TRANSFERENCIA,,alias.pago.806,Banco Nación,,,
TX-1259,34534.27,TRANSFERENCIA,,alias.pago.303,BBVA,,,
TX-1260,64073.49,EFECTIVO,64547.9,,,,,
TX-1261,43108.24,TARJETA,,,,tok_master_833247,American Express,1
TX-1262,73356.86,TARJETA,,,,tok_master_387813,Visa Gold,1
TX-1263,68340.96,TARJETA,,,,tok_master_973294,American Express,3
TX-1264,45726.34,TRANSFERENCIA,,alias.pago.324,Banco Santander,,,
TX-1265,46756.39,TARJETA,,,,tok_amex_904751,Mastercard Black,1
TX-1266,67803.58,TARJETA,,,,tok_visa_423939,Visa Debito,1
TX-1267,2985.66,TRANSFERENCIA,,alias.pago.849,Banco Santander,,,
TX-1268,7214.94,TRANSFERENCIA,,alias.pago.434,BBVA,,,
TX-1269,13585.19,EFECTIVO,15158.22,,,,,
TX-1270,65796.31,TRANSFERENCIA,,alias.pago.643,Macro,,,
TX-1271,68554.78,EFECTIVO,69068.72,,,,,
TX-1272,61939.39,TRANSFERENCIA,,alias.pago.925,Banco Nación,,,
TX-1273,56118.67,TRANSFERENCIA,,alias.pago.923,Banco Galicia,,,
TX-1274,35390.69,EFECTIVO,35672.2,,,,,
TX-1275,72504.27,TARJETA,,,,tok_amex_807166,Visa Debito,1
TX-1276,72561.6,TARJETA,,,,tok_master_194689,Visa Debito,1
TX-1277,1536.94,TARJETA,,,,tok_visa_576877,American Express,6
TX-1278,44049.73,TARJETA,,,,tok_master_213609,Mastercard Black,12
TX-1279,2364.34,TARJETA,,,,tok_master_739717,Mastercard Black,1
TX-1280,47837.59,TRANSFERENCIA,,alias.pago.817,Banco Nación,,,
TX-1281,48868.34,EFECTIVO,49147.89,,,,,
TX-1282,70996.48,TRANSFERENCIA,,alias.pago.604,Banco Galicia,,,
TX-1283,7740.8,TARJETA,,,,tok_visa_507524,Visa Debito,1
TX-1284,28140.36,TARJETA,,,,tok_amex_666432,Visa Debito,1
TX-1285,44256.86,TARJETA,,,,tok_visa_535037,Visa Gold,12
TX-1286,46366.09,TRANSFERENCIA,,alias.pago.133,Banco Nación,,,
TX-1287,16686.59,TRANSFERENCIA,,alias.pago.341,Banco Nación,,,
TX-1288,7901.92,TARJETA,,,,tok_master_670913,American Express,1
TX-1289,30161.4,EFECTIVO,32097.81,,,,,
TX-1290,71201.3,TRANSFERENCIA,,alias.pago.193,Banco Santander,,,
TX-1291,48306.98,TARJETA,,,,tok_visa_153035,American Express,3
TX-1292,74167.16,TARJETA,,,,tok_visa_171942,Mastercard Black,3
TX-1293,61072.45,EFECTIVO,61729.57,,,,,
TX-1294,11492.79,TARJETA,,,,tok_visa_390743,Mastercard Black,3
TX-1295,40746.05,EFECTIVO,40965.9,,,,,
TX-1296,65050.37,EFECTIVO,65080.09,,,,,
TX-1297,59353.86,EFECTIVO,60531.57,,,,,
TX-1298,1675.69,TRANSFERENCIA,,alias.pago.153,Banco Santander,,,
TX-1299,55758.0,TARJETA,,,,tok_visa_881886,Visa Gold,12
TX-1300,33896.5,TRANSFERENCIA,,alias.pago.625,Macro,,,
TX-1301,8624.52,TARJETA,,,,tok_visa_744986,Visa Gold,6
TX-1302,34624.17,EFECTIVO,34745.82,,,,,
TX-1303,36184.15,TRANSFERENCIA,,alias.pago.536,Banco Galicia,,,
TX-1304,37025.03,TRANSFERENCIA,,alias.pago.175,Banco Galicia,,,
TX-1305,24497.33,EFECTIVO,24628.69,,,,,
TX-1306,20988.69,TARJETA,,,,tok_amex_674993,American Express,12
TX-1307,74599.77,TARJETA,,,,tok_master_575755,Visa Debito,1
TX-1308,7888.8,TARJETA,,,,tok_visa_994217,Mastercard Black,12
TX-1309,34140.84,EFECTIVO,34968.47,,,,,
TX-1310,62142.73,TRANSFERENCIA,,alias.pago.525,Banco Galicia,,,
TX-1311,23784.85,TRANSFERENCIA,,alias.pago.781,Banco Nación,,,
TX-1312,28385.43,EFECTIVO,29759.07,,,,,
TX-1313,35832.96,EFECTIVO,37496.5,,,,,
TX-1314,7445.64,EFECTIVO,8934.82,,,,,
TX-1315,28262.19,EFECTIVO,29374.93,,,,,
TX-1316,44191.65,TARJETA,,,,tok_amex_445658,Visa Gold,12
TX-1317,26843.06,TARJETA,,,,tok_master_856086,Visa Gold,6
TX-1318,45230.55,TRANSFERENCIA,,alias.pago.206,Macro,,,
TX-1319,38302.23,EFECTIVO,39615.7,,,,,
TX-1320,17206.24,EFECTIVO,17906.47,,,,,
TX-1321,41941.78,EFECTIVO,43466.99,,,,,
TX-1322,43270.45,TRANSFERENCIA,,alias.pago.965,Macro,,,
TX-1323,73103.72,TARJETA,,,,tok_amex_807764,Visa Gold,6
TX-1324,2657.01,TRANSFERENCIA,,alias.pago.819,Banco Nación,,,
TX-1325,69154.55,TRANSFERENCIA,,alias.pago.106,Banco Santander,,,
TX-1326,65304.77,TARJETA,,,,tok_amex_520252,Visa Gold,3
TX-1327,55702.19,EFECTIVO,55885.71,,,,,
TX-1328,40020.96,TRANSFERENCIA,,alias.pago.529,BBVA,,,
TX-1329,25896.75,TRANSFERENCIA,,alias.pago.419,Banco Nación,,,
TX-1330,58374.25,TARJETA,,,,tok_amex_189083,Visa Gold,3
TX-1331,12227.04,TARJETA,,,,tok_visa_806707,Visa Gold,6
TX-1332,33511.92,TRANSFERENCIA,,alias.pago.597,Macro,,,
TX-1333,33432.29,TRANSFERENCIA,,alias.pago.320,Macro,,,
TX-1334,8979.4,TRANSFERENCIA,,alias.pago.213,Banco Nación,,,
TX-1335,51027.23,TARJETA,,,,tok_master_652530,American Express,1
TX-1336,16928.62,TARJETA,,,,tok_visa_108060,Mastercard Black,6
TX-1337,70926.64,EFECTIVO,72454.96,,,,,
TX-1338,22063.81,EFECTIVO,22079.27,,,,,
TX-1339,56152.55,EFECTIVO,56410.92,,,,,
TX-1340,40177.38,EFECTIVO,41177.9,,,,,
TX-1341,62584.89,TRANSFERENCIA,,alias.pago.173,BBVA,,,
TX-1342,64701.44,EFECTIVO,65573.88,,,,,
TX-1343,34751.69,EFECTIVO,36475.91,,,,,
TX-1344,43394.06,TARJETA,,,,tok_master_843963,Visa Debito,1
TX-1345,22068.88,TRANSFERENCIA,,alias.pago.121,Banco Nación,,,
TX-1346,13304.55,TARJETA,,,,tok_master_972442,American Express,1
TX-1347,33035.03,EFECTIVO,33521.66,,,,,
TX-1348,44370.91,TARJETA,,,,tok_visa_514991,American Express,6
TX-1349,17007.12,EFECTIVO,17159.88,,,,,
TX-1350,47675.24,TARJETA,,,,tok_amex_303322,American Express,6
TX-1351,54689.74,TARJETA,,,,tok_visa_347745,Visa Gold,3
TX-1352,19569.63,EFECTIVO,20774.43,,,,,
TX-1353,57136.04,TARJETA,,,,tok_visa_285751,Visa Debito,1
TX-1354,35064.5,TARJETA,,,,tok_amex_570711,American Express,6
TX-1355,11746.33,EFECTIVO,12684.17,,,,,
TX-1356,47538.19,TRANSFERENCIA,,alias.pago.705,Banco Galicia,,,
TX-1357,26719.7,EFECTIVO,27340.52,,,,,
TX-1358,34167.58,EFECTIVO,34905.06,,,,,
TX-1359,21887.24,TARJETA,,,,tok_visa_744883,Visa Debito,1
TX-1360,34972.02,TARJETA,,,,tok_amex_143015,Visa Debito,1
TX-1361,68224.22,TARJETA,,,,tok_amex_297383,American Express,12
TX-1362,37851.86,EFECTIVO,38752.91,,,,,
TX-1363,60917.03,TRANSFERENCIA,,alias.pago.831,Banco Galicia,,,
TX-1364,38088.9,EFECTIVO,38167.18,,,,,
TX-1365,53217.82,TRANSFERENCIA,,alias.pago.636,Macro,,,
TX-1366,45930.5,TRANSFERENCIA,,alias.pago.481,Banco Nación,,,
TX-1367,29362.53,TRANSFERENCIA,,alias.pago.795,Macro,,,
TX-1368,4401.23,TARJETA,,,,tok_amex_450905,Visa Gold,6
TX-1369,7540.69,TARJETA,,,,tok_master_397949,American Express,3
TX-1370,25335.47,TARJETA,,,,tok_amex_248298,American Express,6
TX-1371,72593.39,TARJETA,,,,tok_amex_510997,Mastercard Black,1
TX-1372,23563.85,TRANSFERENCIA,,alias.pago.758,Banco Nación,,,
TX-1373,61082.27,TARJETA,,,,tok_amex_969226,Visa Gold,12
TX-1374,38382.39,EFECTIVO,39107.59,,,,,
TX-1375,13929.59,EFECTIVO,14613.05,,,,,
TX-1376,57578.64,EFECTIVO,58031.73,,,,,
TX-1377,10748.62,EFECTIVO,11340.2,,,,,
TX-1378,59214.95,TARJETA,,,,tok_amex_975686,Visa Gold,6
TX-1379,65791.26,TARJETA,,,,tok_visa_726258,Visa Debito,1
TX-1380,11991.83,EFECTIVO,13654.52,,,,,
TX-1381,57946.79,EFECTIVO,59389.16,,,,,
TX-1382,3755.09,TRANSFERENCIA,,alias.pago.792,Banco Santander,,,
TX-1383,72734.35,TARJETA,,,,tok_master_888939,Visa Debito,1
TX-1384,17933.22,EFECTIVO,18552.16,,,,,
TX-1385,60742.48,TRANSFERENCIA,,alias.pago.955,Banco Santander,,,
TX-1386,27904.15,TARJETA,,,,tok_master_584106,American Express,12
TX-1387,37966.55,TRANSFERENCIA,,alias.pago.265,Banco Santander,,,
TX-1388,60193.81,EFECTIVO,61939.81,,,,,
TX-1389,4387.4,TRANSFERENCIA,,alias.pago.995,Banco Nación,,,
TX-1390,41813.29,EFECTIVO,43236.09,,,,,
TX-1391,38935.25,EFECTIVO,39505.38,,,,,
TX-1392,57352.2,TRANSFERENCIA,,alias.pago.560,Macro,,,
TX-1393,11477.47,TRANSFERENCIA,,alias.pago.193,Banco Santander,,,
TX-1394,61344.39,TRANSFERENCIA,,alias.pago.127,BBVA,,,
TX-1395,4467.64,TARJETA,,,,tok_master_347231,Visa Debito,1
